,jobDist,n,m,lowerBound,cost,time,timeToBestCost
0,discreteUniform,10,2,83678.0,83690,39.400057315826416,1.02232027053833
1,discreteUniform,10,2,76275.5,76304,39.40000653266907,0.0
2,discreteUniform,10,2,99790.0,99851,39.40092658996582,0.0
3,discreteUniform,10,2,101747.0,101812,39.40034365653992,0.0009982585906982422
4,discreteUniform,10,2,127758.5,127917,39.400009870529175,0.0009984970092773438
5,discreteUniform,10,2,110093.0,110109,39.4000449180603,0.0009992122650146484
6,discreteUniform,10,2,68419.0,68548,39.400506019592285,0.0
7,discreteUniform,10,2,83421.5,83425,39.40050745010376,0.0
8,discreteUniform,10,2,90017.5,90032,39.4007089138031,0.00099945068359375
9,discreteUniform,10,2,111186.0,111225,39.40037202835083,0.0010023117065429688
10,largeJobs,10,2,165135.5,165182,39.400538206100464,0.0
11,largeJobs,10,2,173677.0,173792,39.40049695968628,0.0
12,largeJobs,10,2,162669.5,162692,39.40005373954773,0.0
13,largeJobs,10,2,176380.0,176433,39.40054106712341,0.0010008811950683594
14,largeJobs,10,2,160723.0,160855,39.40044569969177,0.00099945068359375
15,largeJobs,10,2,174409.5,174474,39.40002942085266,0.0019981861114501953
16,largeJobs,10,2,172445.5,172448,39.40042495727539,0.0009982585906982422
17,largeJobs,10,2,167904.0,167952,39.403032541275024,0.0
18,largeJobs,10,2,177613.5,177655,39.4000141620636,0.0009989738464355469
19,largeJobs,10,2,163360.0,163363,39.40011191368103,0.0
20,extremes,10,2,160520.5,160706,39.40008091926575,0.0
21,extremes,10,2,87907.5,88024,39.40099477767944,0.0
22,extremes,10,2,131501.0,135805,39.400059938430786,0.0
23,extremes,10,2,141933.5,142028,39.4005446434021,0.0
24,extremes,10,2,95345.0,95602,39.400604009628296,0.0
25,extremes,10,2,61789.5,61852,39.40094518661499,0.0
26,extremes,10,2,122338.5,122597,39.400014877319336,0.0
27,extremes,10,2,107216.5,107258,39.40088248252869,0.00099945068359375
28,extremes,10,2,104485.0,104601,39.400201082229614,0.00099945068359375
29,extremes,10,2,122053.5,122210,39.40089654922485,0.0
30,centred,10,2,102981.0,103017,39.40068507194519,0.0
31,centred,10,2,97518.5,97712,39.40550255775452,0.0009999275207519531
32,centred,10,2,96525.5,96608,39.4008104801178,0.0009992122650146484
33,centred,10,2,83944.5,84269,39.40060472488403,0.0
34,centred,10,2,95345.5,95351,39.40068197250366,0.0
35,centred,10,2,95529.0,95549,39.40074682235718,0.0
36,centred,10,2,112678.0,112732,39.410074949264526,0.0
37,centred,10,2,94199.0,94239,39.40052390098572,0.0010013580322265625
38,centred,10,2,104755.0,104839,39.40011525154114,0.0
39,centred,10,2,87241.5,87283,39.40005040168762,0.0
40,discreteUniform,10,4,57331.25,58022,39.40085053443909,0.0
41,discreteUniform,10,4,49435.5,55884,39.40010046958923,0.0
42,discreteUniform,10,4,63148.0,63585,39.41050100326538,0.0
43,discreteUniform,10,4,40969.5,45654,39.40044832229614,0.0
44,discreteUniform,10,4,45419.5,47545,39.40056324005127,0.0
45,discreteUniform,10,4,48676.5,49318,39.400256872177124,0.00099945068359375
46,discreteUniform,10,4,54598.25,58554,39.40057563781738,0.0
47,discreteUniform,10,4,39623.75,40897,39.40060234069824,0.0
48,discreteUniform,10,4,40572.5,41549,39.40035533905029,0.0
49,discreteUniform,10,4,54978.5,58077,39.400975704193115,0.0010013580322265625
50,largeJobs,10,4,84329.0,94905,39.40005159378052,0.0009989738464355469
51,largeJobs,10,4,84176.0,92481,39.40058946609497,0.0
52,largeJobs,10,4,82592.25,93322,39.40061974525452,0.0
53,largeJobs,10,4,88422.0,101498,39.40005707740784,0.0
54,largeJobs,10,4,83034.75,95626,39.40070152282715,0.0
55,largeJobs,10,4,86744.5,98823,39.400643825531006,0.0
56,largeJobs,10,4,83473.0,92603,39.400595903396606,0.0
57,largeJobs,10,4,83997.75,94734,39.40012240409851,0.0
58,largeJobs,10,4,76161.0,84867,39.400639057159424,0.0
59,largeJobs,10,4,81116.5,89008,39.4006712436676,0.0
60,extremes,10,4,36704.0,36704,0.0,0.0
61,extremes,10,4,63165.25,73767,39.40067744255066,0.0
62,extremes,10,4,52326.25,54471,39.40063261985779,0.0
63,extremes,10,4,58669.75,61345,39.4006507396698,0.0
64,extremes,10,4,44424.5,56306,39.40067791938782,0.0
65,extremes,10,4,58493.75,59665,39.40008282661438,0.0
66,extremes,10,4,54348.25,56924,39.40087652206421,0.0
67,extremes,10,4,47935.5,60295,39.40097784996033,0.0
68,extremes,10,4,35078.0,35078,0.0,0.0
69,extremes,10,4,51971.25,56304,39.40049433708191,0.0
70,centred,10,4,47260.75,49527,39.40054178237915,0.0
71,centred,10,4,54665.0,55863,39.40069341659546,0.0
72,centred,10,4,39757.75,40462,39.40004920959473,0.0
73,centred,10,4,60172.75,62003,39.40009617805481,0.0
74,centred,10,4,49172.5,51398,39.400179624557495,0.0
75,centred,10,4,47804.25,49934,39.40091395378113,0.0
76,centred,10,4,58860.75,59574,39.41205954551697,0.0
77,centred,10,4,42181.75,43503,39.40063810348511,0.0
78,centred,10,4,49546.75,51543,39.40073752403259,0.0
79,centred,10,4,53705.0,55144,39.40004062652588,0.0009992122650146484
80,discreteUniform,10,6,37531.833333333336,40580,39.40002655982971,0.0
