,jobDist,n,m,lowerBound,cost,time
0,discreteUniform,10,2,83678.0,83690,39.40007448196411
1,discreteUniform,10,2,76275.5,76304,39.400527238845825
2,discreteUniform,10,2,99790.0,99851,39.40053081512451
3,discreteUniform,10,2,101747.0,101812,39.400803089141846
4,discreteUniform,10,2,127758.5,127917,39.40039682388306
5,discreteUniform,10,2,110093.0,110109,39.400126218795776
6,discreteUniform,10,2,68419.0,68548,39.40090465545654
7,discreteUniform,10,2,83421.5,83425,39.400309801101685
8,discreteUniform,10,2,90017.5,90032,39.400712966918945
9,discreteUniform,10,2,111186.0,111225,39.400639295578
10,largeJobs,10,2,165135.5,165182,39.40021538734436
11,largeJobs,10,2,173677.0,173792,39.400689125061035
12,largeJobs,10,2,162669.5,162692,39.4005765914917
13,largeJobs,10,2,176380.0,176433,39.40086483955383
14,largeJobs,10,2,160723.0,160855,39.40032148361206
15,largeJobs,10,2,174409.5,174474,39.40098834037781
16,largeJobs,10,2,172445.5,172448,39.40099906921387
17,largeJobs,10,2,167904.0,167952,39.40027165412903
18,largeJobs,10,2,177613.5,177655,39.40009903907776
19,largeJobs,10,2,163360.0,163363,39.400192737579346
20,extremes,10,2,160520.5,160706,39.400808811187744
21,extremes,10,2,87907.5,88024,39.400824785232544
22,extremes,10,2,131501.0,135805,39.40051865577698
23,extremes,10,2,141933.5,142028,39.40047311782837
24,extremes,10,2,95345.0,95602,39.40041780471802
25,extremes,10,2,61789.5,61852,39.40042066574097
26,extremes,10,2,122338.5,122597,39.40048909187317
27,extremes,10,2,107216.5,107258,39.40077543258667
28,extremes,10,2,104485.0,104601,39.40088129043579
29,extremes,10,2,122053.5,122210,39.40095281600952
30,centred,10,2,102981.0,103017,39.400980949401855
31,centred,10,2,97518.5,97712,39.41426634788513
32,centred,10,2,96525.5,96608,39.40083837509155
33,centred,10,2,83944.5,84269,39.400405406951904
34,centred,10,2,95345.5,95351,39.40065264701843
35,centred,10,2,95529.0,95549,39.400983810424805
36,centred,10,2,112678.0,112732,39.40054512023926
37,centred,10,2,94199.0,94239,39.400840759277344
38,centred,10,2,104755.0,104839,39.40011215209961
39,centred,10,2,87241.5,87283,39.40044808387756
40,discreteUniform,10,4,57331.25,58022,39.40018129348755
41,discreteUniform,10,4,49435.5,55884,39.40091872215271
42,discreteUniform,10,4,63148.0,63585,39.40094876289368
43,discreteUniform,10,4,40969.5,45654,39.40028405189514
44,discreteUniform,10,4,45419.5,47545,39.400328159332275
45,discreteUniform,10,4,48676.5,49318,39.40072536468506
46,discreteUniform,10,4,54598.25,58554,39.40036654472351
47,discreteUniform,10,4,39623.75,40897,39.40033173561096
48,discreteUniform,10,4,40572.5,41549,39.40212655067444
49,discreteUniform,10,4,54978.5,58077,39.40009832382202
50,largeJobs,10,4,84329.0,94905,39.400874614715576
51,largeJobs,10,4,84176.0,92481,39.4005172252655
52,largeJobs,10,4,82592.25,93322,39.40096592903137
53,largeJobs,10,4,88422.0,101498,39.400065898895264
54,largeJobs,10,4,83034.75,95626,39.4000449180603
55,largeJobs,10,4,86744.5,98823,39.40096163749695
56,largeJobs,10,4,83473.0,92603,39.400962591171265
57,largeJobs,10,4,83997.75,94734,39.40009546279907
58,largeJobs,10,4,76161.0,84867,39.4009735584259
59,largeJobs,10,4,81116.5,89008,39.40000772476196
60,extremes,10,4,36704.0,36704,39.400039196014404
61,extremes,10,4,63165.25,73767,39.4009964466095
62,extremes,10,4,52326.25,54471,39.40002799034119
63,extremes,10,4,58669.75,61345,39.40000557899475
64,extremes,10,4,44424.5,56306,39.40004253387451
65,extremes,10,4,58493.75,59665,39.40003967285156
66,extremes,10,4,54348.25,56924,39.400952100753784
67,extremes,10,4,47935.5,60295,39.400041341781616
68,extremes,10,4,35078.0,35078,39.40035057067871
69,extremes,10,4,51971.25,56304,39.40000057220459
70,centred,10,4,47260.75,49527,39.40007662773132
71,centred,10,4,54665.0,55863,39.40011215209961
72,centred,10,4,39757.75,40462,39.40084218978882
73,centred,10,4,60172.75,62003,39.40055990219116
74,centred,10,4,49172.5,51398,39.4004921913147
75,centred,10,4,47804.25,49934,39.400046586990356
76,centred,10,4,58860.75,59574,39.40096831321716
77,centred,10,4,42181.75,43503,39.40005803108215
78,centred,10,4,49546.75,51543,39.40096068382263
79,centred,10,4,53705.0,55144,39.40099239349365
80,discreteUniform,10,6,37531.833333333336,40580,39.400981426239014
81,discreteUniform,10,6,36107.0,36107,39.40004849433899
82,discreteUniform,10,6,42103.166666666664,47638,39.400004863739014
83,discreteUniform,10,6,37861.0,37861,39.400086402893066
84,discreteUniform,10,6,43810.0,60781,39.40099239349365
85,discreteUniform,10,6,31213.0,36299,39.40026068687439
86,discreteUniform,10,6,35292.0,38082,39.400691986083984
87,discreteUniform,10,6,36380.666666666664,49413,39.40028762817383
88,discreteUniform,10,6,38982.0,38982,39.40055966377258
89,discreteUniform,10,6,34221.0,34221,39.40060901641846
90,largeJobs,10,6,56819.0,66536,39.400704860687256
91,largeJobs,10,6,55526.833333333336,67419,39.405237674713135
92,largeJobs,10,6,57275.333333333336,69316,39.40803146362305
93,largeJobs,10,6,52359.833333333336,62208,39.40006065368652
94,largeJobs,10,6,53188.666666666664,64362,39.40001392364502
95,largeJobs,10,6,56213.833333333336,66410,39.40002179145813
96,largeJobs,10,6,55991.833333333336,67171,39.4000358581543
97,largeJobs,10,6,57074.333333333336,67482,39.40002775192261
98,largeJobs,10,6,57643.166666666664,68952,39.40095233917236
99,largeJobs,10,6,51792.166666666664,60400,39.400028705596924
100,extremes,10,6,29980.0,29980,39.40099883079529
101,extremes,10,6,39782.0,39782,39.40027213096619
102,extremes,10,6,36101.0,36101,39.400986671447754
103,extremes,10,6,48292.166666666664,64220,39.400007486343384
104,extremes,10,6,39373.0,40465,39.400084018707275
105,extremes,10,6,39028.0,39028,39.400087118148804
106,extremes,10,6,39532.0,58682,39.40037703514099
107,extremes,10,6,44423.166666666664,55361,39.400501012802124
108,extremes,10,6,39950.0,39950,39.400020122528076
