,jobDist,n,m,lowerBound,cost,time
0,discreteUniform,10,2,83678.0,83866.0,0.0010001659393310547
1,discreteUniform,10,2,76275.5,76304.0,0.0009989738464355469
2,discreteUniform,10,2,99790.0,100146.0,0.0
3,discreteUniform,10,2,101747.0,102111.0,0.0009992122650146484
4,discreteUniform,10,2,127758.5,132033.0,0.0
5,discreteUniform,10,2,110093.0,110411.0,0.0009992122650146484
6,discreteUniform,10,2,68419.0,69419.0,0.0009987354278564453
7,discreteUniform,10,2,83421.5,84016.0,0.0009992122650146484
8,discreteUniform,10,2,90017.5,90157.0,0.0010004043579101562
9,discreteUniform,10,2,111186.0,111784.0,0.0009982585906982422
10,largeJobs,10,2,165135.5,167529.0,0.0009982585906982422
11,largeJobs,10,2,173677.0,173883.0,0.000997781753540039
12,largeJobs,10,2,162669.5,162891.0,0.0009989738464355469
13,largeJobs,10,2,176380.0,176835.0,0.0019969940185546875
14,largeJobs,10,2,160723.0,161257.0,0.0
15,largeJobs,10,2,174409.5,175573.0,0.0
16,largeJobs,10,2,172445.5,172448.0,0.0009996891021728516
17,largeJobs,10,2,167904.0,171310.0,0.0
18,largeJobs,10,2,177613.5,178020.0,0.0
19,largeJobs,10,2,163360.0,166083.0,0.0009992122650146484
20,extremes,10,2,160520.5,162043.0,0.0009992122650146484
21,extremes,10,2,87907.5,88815.0,0.0
22,extremes,10,2,131501.0,138913.0,0.0
23,extremes,10,2,141933.5,142577.0,0.0
24,extremes,10,2,95345.0,96529.0,0.0
25,extremes,10,2,61789.5,61852.0,0.0
26,extremes,10,2,122338.5,123607.0,0.0
27,extremes,10,2,107216.5,107877.0,0.0
28,extremes,10,2,104485.0,104767.0,0.0
29,extremes,10,2,122053.5,122457.0,0.0009992122650146484
30,centred,10,2,102981.0,103025.0,0.0008099079132080078
31,centred,10,2,97518.5,99083.0,0.0009996891021728516
32,centred,10,2,96525.5,97046.0,0.00099945068359375
33,centred,10,2,83944.5,84474.0,0.0
34,centred,10,2,95345.5,97139.0,0.0
35,centred,10,2,95529.0,96939.0,0.0
36,centred,10,2,112678.0,114293.0,0.0
37,centred,10,2,94199.0,94438.0,0.0
38,centred,10,2,104755.0,105421.0,0.0
39,centred,10,2,87241.5,87366.0,0.0009992122650146484
40,discreteUniform,10,4,57331.25,61025.0,0.0009992122650146484
41,discreteUniform,10,4,49435.5,55884.0,0.0010328292846679688
42,discreteUniform,10,4,63148.0,64815.0,0.0
43,discreteUniform,10,4,40969.5,45654.0,0.0
44,discreteUniform,10,4,45419.5,47545.0,0.0
45,discreteUniform,10,4,48676.5,50078.0,0.0
46,discreteUniform,10,4,54598.25,58650.0,0.0
47,discreteUniform,10,4,39623.75,40897.0,0.0
48,discreteUniform,10,4,40572.5,41549.0,0.0
49,discreteUniform,10,4,54978.5,58545.0,0.0009984970092773438
50,largeJobs,10,4,84329.0,98783.0,0.0010004043579101562
51,largeJobs,10,4,84176.0,96031.0,0.00099945068359375
52,largeJobs,10,4,82592.25,94299.0,0.0009992122650146484
53,largeJobs,10,4,88422.0,102533.0,0.0009982585906982422
54,largeJobs,10,4,83034.75,96914.0,0.0
55,largeJobs,10,4,86744.5,97944.0,0.0009992122650146484
56,largeJobs,10,4,83473.0,91457.0,0.0009992122650146484
57,largeJobs,10,4,83997.75,100031.0,0.0009989738464355469
58,largeJobs,10,4,76161.0,84867.0,0.00099945068359375
59,largeJobs,10,4,81116.5,93144.0,0.0
60,extremes,10,4,36704.0,36704.0,0.0
61,extremes,10,4,63165.25,73767.0,0.0
62,extremes,10,4,52326.25,55597.0,0.0
63,extremes,10,4,58669.75,61700.0,0.0
64,extremes,10,4,44424.5,56306.0,0.000997781753540039
65,extremes,10,4,58493.75,63797.0,0.0009992122650146484
66,extremes,10,4,54348.25,56924.0,0.0
67,extremes,10,4,47935.5,60295.0,0.0
68,extremes,10,4,35078.0,35078.0,0.0
69,extremes,10,4,51971.25,56304.0,0.0
70,centred,10,4,47260.75,50821.0,0.0010006427764892578
71,centred,10,4,54665.0,56762.0,0.0009987354278564453
72,centred,10,4,39757.75,41030.0,0.0009996891021728516
